,rep,tech,api,model,test_name,total,soundness,validity
144,1,pbt_and_props,cryptography.fernet.Fernet.encrypt,claude-3-opus-20240229,test_encrypt_decrypt_roundtrip,1000,1000.0,1000.0
145,1,pbt_and_props,cryptography.fernet.Fernet.encrypt,claude-3-opus-20240229,test_encrypt_output_length,1000,1000.0,1000.0
146,1,pbt_and_props,cryptography.fernet.Fernet.encrypt,claude-3-opus-20240229,test_encrypt_output_type,1000,1000.0,1000.0
147,1,pbt_and_props,cryptography.fernet.Fernet.encrypt,claude-3-opus-20240229,test_encrypt_url_safe_base64,1000,16.0,1000.0
148,1,pbt_and_props,cryptography.fernet.Fernet.encrypt,gemini-1.5-pro-latest-final,test_decrypt_matches_original,1000,1000.0,1000.0
149,1,pbt_and_props,cryptography.fernet.Fernet.encrypt,gemini-1.5-pro-latest-final,test_different_keys_different_tokens,1000,0.0,0.0
150,1,pbt_and_props,cryptography.fernet.Fernet.encrypt,gemini-1.5-pro-latest-final,test_tampering_detection,1000,0.0,0.0
151,1,pbt_and_props,cryptography.fernet.Fernet.encrypt,gemini-1.5-pro-latest-final,test_token_is_urlsafe_base64,1000,1000.0,1000.0
152,1,pbt_and_props,cryptography.fernet.Fernet.encrypt,gemini-1.5-pro-latest-final,test_token_length_deterministic,1000,1000.0,1000.0
153,1,pbt_and_props,cryptography.fernet.Fernet.encrypt,gpt-4-final,results/gpt-4-final/cryptography.fernet.Fernet.encrypt/pbt_and_props/pbt_1.py,1000,0.0,0.0
154,1,pbt_and_props,cryptography.fernet.Fernet.encrypt,gpt-4-final,test_different_key_property,1000,,0.0
155,1,pbt_and_props,cryptography.fernet.Fernet.encrypt,gpt-4-final,test_encrypt_decrypt_property,1000,,0.0
156,1,pbt_and_props,cryptography.fernet.Fernet.encrypt,gpt-4-final,test_ttl_property,1000,,0.0
157,1,pbt_and_props,cryptography.fernet.Fernet.encrypt,gpt-4-final,test_type_error_property,1000,,0.0
158,1,pbt_and_props,cryptography.fernet.Fernet.encrypt,gpt-4-final,test_url_safety_property,1000,,0.0
159,1,pbt_and_props,cryptography.fernet.MultiFernet.rotate,claude-3-opus-20240229,test_cryptography_fernet_MultiFernet_rotate_property1,1000,1000.0,1000.0
160,1,pbt_and_props,cryptography.fernet.MultiFernet.rotate,claude-3-opus-20240229,test_cryptography_fernet_MultiFernet_rotate_property2,1000,1000.0,1000.0
161,1,pbt_and_props,cryptography.fernet.MultiFernet.rotate,claude-3-opus-20240229,test_cryptography_fernet_MultiFernet_rotate_property3,1000,1000.0,1000.0
162,1,pbt_and_props,cryptography.fernet.MultiFernet.rotate,claude-3-opus-20240229,test_cryptography_fernet_MultiFernet_rotate_property4,1000,1000.0,1000.0
163,1,pbt_and_props,cryptography.fernet.MultiFernet.rotate,claude-3-opus-20240229,test_cryptography_fernet_MultiFernet_rotate_property5,1000,4.0,1000.0
164,1,pbt_and_props,cryptography.fernet.MultiFernet.rotate,gemini-1.5-pro-latest-final,results/gemini-1.5-pro-latest-reorder-inst-final/cryptography.fernet.MultiFernet.rotate/pbt_and_props/pbt_1.py,1000,0.0,0.0
165,1,pbt_and_props,cryptography.fernet.MultiFernet.rotate,gemini-1.5-pro-latest-final,test_cryptography_fernet_MultiFernet_rotate_property_1_and_2,1000,,0.0
166,1,pbt_and_props,cryptography.fernet.MultiFernet.rotate,gemini-1.5-pro-latest-final,test_cryptography_fernet_MultiFernet_rotate_property_3,1000,,0.0
167,1,pbt_and_props,cryptography.fernet.MultiFernet.rotate,gemini-1.5-pro-latest-final,test_cryptography_fernet_MultiFernet_rotate_property_4,1000,,0.0
168,1,pbt_and_props,cryptography.fernet.MultiFernet.rotate,gemini-1.5-pro-latest-final,test_cryptography_fernet_MultiFernet_rotate_property_5,1000,,0.0
169,1,pbt_and_props,cryptography.fernet.MultiFernet.rotate,gpt-4-final,test_rotate_behavior,1000,1000.0,1000.0
170,1,pbt_and_props,cryptography.fernet.MultiFernet.rotate,gpt-4-final,test_rotate_with_invalid_input,1000,1000.0,1000.0
171,1,pbt_and_props,cryptography.fernet.MultiFernet.rotate,gpt-4-final,test_rotate_with_string_input,1000,1000.0,1000.0
